Id,SalePrice
1461,161920.92276885125
1462,166428.8290044533
1463,201413.75749034944
1464,183066.03729132647
1465,192738.02655861375
1466,184614.96199149164
1467,198788.41053381382
1468,168499.15723538565
1469,156410.292545094
1470,144451.12053969598
1471,158170.2507637395
1472,153782.69759527085
1473,99603.68044089309
1474,160788.1023107502
1475,114564.69097875187
1476,234095.11416431903
1477,183263.0692385611
1478,179685.05383180347
1479,220362.9065700317
1480,370011.1661154076
1481,314318.8390696761
1482,168566.24813388832
1483,187256.5234783745
1484,150668.30559486966
1485,148543.6101055938
1486,188586.95755687827
1487,287106.00477281696
1488,253271.968825224
1489,167996.20512016563
1490,175055.43749351802
1491,160240.2286569186
1492,99209.27754100591
1493,201224.55894514924
1494,260114.0209584265
1495,325326.5693061819
1496,251979.96405793718
1497,171144.77376157633
1498,135119.44974350615
1499,139335.92106177038
1500,126192.27779394273
1501,157082.4464191459
1502,134365.327362259
1503,217583.0451533126
1504,184894.20467243748
1505,179473.56542453982
1506,268028.36268189177
1507,295418.331794477
1508,241859.42748715368
1509,157603.8275755808
1510,154402.08432392168
1511,164935.95315678776
1512,168058.01173788396
1513,156504.22816891383
1514,287549.5162691664
1515,184453.23963898758
1516,155536.3744568826
1517,160770.33611360763
1518,196740.67269950118
1519,234887.56163702146
1520,142412.71967853323
1521,155082.36473758667
1522,149825.10905852192
1523,150261.0067948093
1524,120481.26516426537
1525,134611.09873054345
1526,152990.3095966446
1527,130869.79979909428
1528,149496.3227294022
1529,144772.39764294328
1530,168783.62061241525
1531,151824.92573733605
1532,101835.9737774718
1533,164976.15581535408
1534,115430.99040198648
1535,153537.89801406467
1536,131313.8974397765
1537,98672.5132040012
1538,118992.97003450846
1539,143119.96446834097
1540,119399.96448353953
1541,153198.6603971766
1542,158916.07901430354
1543,204008.30450752046
1544,79846.58301235054
1545,103790.5099620829
1546,147135.1812378376
1547,145717.37679153224
1548,144208.55473532688
1549,108096.63714625554
1550,159305.14873362612
1551,109602.69423627989
1552,140419.39610517528
1553,154401.77639495957
